"ID","IPADDRESS","STBROWSER","STBROWSERVERSION","STSYSTEM","STLANGUAGE","DATUM","TIMESTAMP"
"1","217.160.255.254","Firefox","Firefox","Linux","de","2022-08-25","2022-08-25 19:58:34.5"
"2","217.160.255.254","Firefox","Firefox","Linux","de","2022-08-25","2022-08-25 19:58:44.642"
"3","217.160.255.254","Firefox","Firefox","Linux","de","2022-08-25","2022-08-25 19:59:57.402"
"4","217.160.255.254","Firefox","Firefox","Linux","de","2022-08-25","2022-08-25 20:00:00.542"
"5","31.18.254.15","Firefox","Firefox","Linux","de","2022-08-25","2022-08-25 20:01:36.342"
"6","31.18.254.15","Edge","Edge","Linux","de","2022-08-25","2022-08-25 20:33:56.078"
"7","31.18.254.15","Edge","Edge","Linux","de","2022-08-25","2022-08-25 20:38:31.246"
"8","31.18.254.15","Edge","Edge","Linux","de","2022-08-25","2022-08-25 20:39:37.778"
"9","2.57.122.98","Edge","Edge","Windows","de","2022-08-25","2022-08-25 21:32:44.624"
"10","2.57.122.98","Edge","Edge","Windows","de","2022-08-25","2022-08-25 23:35:49.651"
"11","167.94.145.58","Other","Other","Other","de","2022-08-25","2022-08-25 23:53:16.992"
"12","162.142.125.8","Other","Other","Other","de","2022-08-26","2022-08-26 00:00:35.406"
"13","185.7.214.117","Chrome","Chrome","Windows","de","2022-08-26","2022-08-26 00:12:30.243"
"14","69.160.160.58","Nicecrawler","Nicecrawler","Other","de","2022-08-26","2022-08-26 00:39:39.359"
"15","69.160.160.58","HeadlessChrome","HeadlessChrome","Linux","de","2022-08-26","2022-08-26 00:39:40.198"
"16","192.241.220.203","Other","Other","Other","de","2022-08-26","2022-08-26 00:51:55.283"
"17","45.88.97.10","Python Requests","Python Requests","Other","de","2022-08-26","2022-08-26 01:24:15.087"
"18","66.249.77.76","Googlebot","Googlebot","Other","de","2022-08-26","2022-08-26 01:32:41.939"
"19","66.249.77.76","Googlebot","Googlebot","Android","de","2022-08-26","2022-08-26 01:33:33.64"
"20","59.95.87.238","Chrome","Chrome","Windows","de","2022-08-26","2022-08-26 02:15:44.189"
"21","59.95.87.238","Chrome","Chrome","Windows","de","2022-08-26","2022-08-26 02:15:44.193"
"22","34.78.6.216","Python Requests","Python Requests","Other","de","2022-08-26","2022-08-26 02:39:27.671"
"23","185.196.220.70","Other","Other","Linux","de","2022-08-26","2022-08-26 03:15:11.422"
"24","192.241.216.111","Other","Other","Other","de","2022-08-26","2022-08-26 03:42:50.068"
"25","31.18.254.15","Firefox","Firefox","Linux","de","2022-08-26","2022-08-26 05:00:39.808"
"26","2.57.122.98","Edge","Edge","Windows","de","2022-08-26","2022-08-26 05:00:51.925"
"27","167.248.133.47","Other","Other","Other","de","2022-08-26","2022-08-26 05:03:46.128"
"28","31.18.254.15","Firefox","Firefox","Linux","de","2022-08-26","2022-08-26 05:09:26.351"
"29","31.18.254.15","Edge","Edge","Linux","de","2022-08-26","2022-08-26 05:30:18.944"
"30","31.18.254.15","Edge","Edge","Linux","de","2022-08-26","2022-08-26 05:32:36.117"
"31","217.160.255.254","Firefox","Firefox","Linux","de","2022-08-26","2022-08-26 06:20:34.871"
"32","217.160.255.254","Firefox","Firefox","Linux","de","2022-08-26","2022-08-26 06:29:48.521"
"33","217.160.255.254","Firefox","Firefox","Linux","de","2022-08-26","2022-08-26 06:37:05.153"
"34","209.222.252.91","Java","Java","Other","de","2022-08-26","2022-08-26 06:43:28.078"
"35","217.160.255.254","Firefox","Firefox","Linux","de","2022-08-26","2022-08-26 06:46:11.907"
"36","217.160.255.254","Firefox","Firefox","Linux","de","2022-08-26","2022-08-26 06:55:12.831"
